,dscrt_train,dscrt,N,H,space,kappa,kappa_T,sigma,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
27,1000,1000,4,0.7,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9997568969659473,2.011482533802009e-07,2024-02-14 18:12:37,443.981027841568,780.8588719367981
43,1000,1000,4,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.00837652467147,2.1840303916458714e-07,2024-02-14 18:05:10,301.84228563308716,447.682333946228
91,100,100,5,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.8451905449156945,1.3979294886026466e-06,2024-02-14 17:46:02,52.62216663360596,128.17085552215576
49,1000,1000,4,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0025554609712615,2.4767222991728955e-07,2024-02-14 18:09:10,252.62967610359192,691.9021899700165
40,100,100,1,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0251917719006491,3.1025867803315726e-07,2024-02-14 17:40:25,11.591357469558716,30.105451107025146
95,1000,1000,2,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0010529333051779,1.9052436392785788e-07,2024-02-14 18:01:00,332.85027527809143,535.6847891807556
109,100,100,4,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9989507426502058,6.838071731639841e-07,2024-02-14 17:43:25,29.223658561706543,54.2119882106781
93,1000,1000,3,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0020132255880603,2.3650661380106597e-07,2024-02-14 18:00:57,217.02458333969116,565.0175228118896
28,1000,1000,5,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0030250489820982,2.3172148662565912e-07,2024-02-14 18:34:34,714.8679959774017,1475.4800746440887
101,100,100,4,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0783952191712436,9.540444526029852e-07,2024-02-14 17:43:53,24.83551287651062,84.51906251907349
68,1000,1000,5,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0026138485791347,2.485298897221955e-07,2024-02-14 18:25:22,387.0081310272217,1251.1247980594635
57,100,100,2,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0721658493543949,7.579036036977697e-07,2024-02-14 17:40:59,10.174300193786621,25.877318143844604
58,100,100,3,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0703372207934794,7.759796905886368e-07,2024-02-14 17:42:02,13.307746171951294,38.96973705291748
85,1000,1000,2,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0027235047561331,2.4687678396556714e-07,2024-02-14 17:53:54,140.71185684204102,317.0001621246338
22,100,100,5,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0867031760404218,9.570968233546177e-07,2024-02-14 17:46:05,35.73478698730469,131.98313546180725
115,1000,1000,3,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.0024497532451546,2.233828029373156e-07,2024-02-14 18:08:11,498.9994993209839,702.9795734882355
21,1000,1000,1,0.9,sig,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.9994153784248402,1.7742540896527e-07,2024-02-14 17:50:42,122.60956907272339,248.66973400115967
63,100,100,2,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-0.99164632501534,1.2100827293129457e-07,2024-02-14 17:41:47,31.16073513031006,55.346195697784424
76,100,100,3,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.4163819031873903,1.1141003600509792e-06,2024-02-14 17:43:13,42.896018981933594,85.03659224510193
14,100,100,1,0.9,log,0.001,0.1,0.02,1.0,,3,301,2048,4096,0.1,32,1048576,tX,-1.7722686379336543,1.07548172569456e-06,2024-02-14 17:41:28,22.67401957511902,35.75886344909668
