,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,save_model,res,err,time,train_time,eval_time
161,100,100,3,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10208900176741163,0.00016687352534858598,2024-03-01 11:23:34,714.8633069992065,16.620113134384155
59,1000,1000,5,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10073149441844464,0.0001648293291784529,2024-03-01 13:38:05,4640.332303762436,217.78074598312378
78,100,100,5,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.1017851222583247,0.00016602480916535077,2024-03-01 11:34:41,916.3532094955444,22.281596183776855
80,100,100,1,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12625779826839895,0.00024684111880706535,2024-03-01 11:11:21,51.544262170791626,4.980666637420654
166,100,100,4,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10134291312444059,0.00016545465215318022,2024-03-01 11:22:15,491.88252210617065,20.230069160461426
52,100,100,3,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10169112752826936,0.00016607596045047004,2024-03-01 11:17:09,344.25500416755676,14.931163787841797
210,1000,1000,2,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10117883153332337,0.0001666030786028269,2024-03-01 13:51:50,7891.574932575226,132.65387535095215
41,1000,1000,5,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10055444316018608,0.00016377693193173596,2024-03-01 16:10:59,13350.435163021088,304.47315096855164
104,100,100,2,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10533129984612902,0.00017585693918013072,2024-03-01 11:13:08,132.35939168930054,10.23739218711853
43,1000,1000,3,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10028027660538394,0.00016369973447405314,2024-03-01 13:46:22,7451.920198917389,156.2950508594513
30,1000,1000,4,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10062012835443163,0.00016434570163231587,2024-03-01 13:24:06,5780.94640827179,129.16964769363403
121,1000,1000,1,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.12596517143561037,0.00024657494515392876,2024-03-01 11:34:26,449.9940187931061,77.07457637786865
181,1000,1000,4,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10068939886102657,0.00016487639817172858,2024-03-01 12:45:50,3390.839138507843,146.26414585113525
103,1000,1000,1,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.11157191805067317,0.00019337159807546303,2024-03-01 12:54:38,5041.48065161705,113.99463057518005
115,100,100,2,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10174922413689505,0.00016647728480171108,2024-03-01 11:23:20,720.7193336486816,13.74944543838501
70,100,100,5,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10166022261347257,0.00016694464991175506,2024-03-01 11:28:06,531.1722846031189,20.866086721420288
92,100,100,1,0.6,log,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.11295094362509837,0.00019569859676369408,2024-03-01 11:16:54,365.1081631183624,7.863286018371582
189,1000,1000,2,0.6,sig,0.1,0.0,,2,21,16384,262144,1.0,32,262144,tX,True,0.10424799331986574,0.00017426837009190527,2024-03-01 11:58:02,1426.660858631134,105.59143447875977
