,dscrt_train,dscrt,N,H,space,penalty,initial,constraint,restarts,epochs,batch_size,validation_size,learning_rate,max_gb,MC_,sig_comp,res,err,time,train_time,eval_time
124,1000,1000,1,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1624526582287178,1.835547969097538e-06,2024-02-14 17:24:40,241.21605253219604,289.1649954319
216,1000,1000,4,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15316647614852985,1.6633704151337162e-06,2024-02-14 17:43:37,267.56266593933105,714.5736696720123
116,100,100,2,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15407923431586118,1.6319075790915442e-06,2024-02-14 17:16:07,32.10570573806763,55.338985204696655
2,100,100,4,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1539140019602448,1.648235065348014e-06,2024-02-14 17:12:24,30.067264080047607,53.831931591033936
112,1000,1000,1,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.17121567785929695,2.1297037833821215e-06,2024-02-14 17:19:52,90.45552587509155,156.8268039226532
129,100,100,2,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15641693812688073,1.6934400500456671e-06,2024-02-14 17:15:32,13.709237337112427,39.19944190979004
17,100,100,4,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15420068089686279,1.668035375047655e-06,2024-02-14 17:13:04,25.265928983688354,85.14596104621887
168,1000,1000,5,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15288260716683738,1.6458586211411986e-06,2024-02-14 17:48:58,261.20610332489014,712.9720947742462
145,100,100,5,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15407445773958967,1.6116271411798423e-06,2024-02-14 17:16:49,66.23482251167297,149.1960608959198
164,1000,1000,2,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15496887758156108,1.6891892680301606e-06,2024-02-14 17:27:39,217.7668399810791,352.4995892047882
57,1000,1000,5,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15252841234040307,1.6180749621322026e-06,2024-02-14 17:59:17,537.9519371986389,1021.0483059883118
61,1000,1000,3,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15319993871543758,1.654756160590591e-06,2024-02-14 17:31:58,186.49269723892212,460.25757908821106
38,100,100,5,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15413470856706746,1.660150919342916e-06,2024-02-14 17:16:04,35.40490412712097,127.00230383872986
21,1000,1000,3,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15289086238622968,1.6031035239076008e-06,2024-02-14 17:32:23,302.6772389411926,403.9267463684082
142,1000,1000,2,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15256668876956933,1.626096304930899e-06,2024-02-14 17:30:13,316.0482497215271,441.8610808849335
140,100,100,3,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15431747172704763,1.6667565159202428e-06,2024-02-14 17:09:13,13.227633714675903,37.84913492202759
35,100,100,1,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.16285533927522497,1.8636687670885869e-06,2024-02-14 17:09:06,28.649529218673706,48.15570640563965
193,1000,1000,4,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.15258267764544084,1.6320230396879079e-06,2024-02-14 17:42:42,379.83986473083496,587.8339612483978
82,100,100,1,0.4,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.17260077875690544,2.1460560510875853e-06,2024-02-14 17:08:30,11.845070362091064,29.965063095092773
196,100,100,3,0.4,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1538271132690986,1.6524634115178035e-06,2024-02-14 17:09:46,28.819441556930542,47.9784779548645
169,1000,1000,5,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12415314344321367,1.4701971595847211e-06,2024-02-14 17:59:37,537.5057353973389,1039.7462491989136
152,100,100,3,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12513705255493549,1.471552471302622e-06,2024-02-14 17:09:50,29.07615900039673,47.934600830078125
215,100,100,4,0.5,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12585358069185829,1.5133674183043514e-06,2024-02-14 17:12:26,17.66273808479309,55.590256690979004
176,100,100,3,0.5,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1264920014556701,1.5208335209377688e-06,2024-02-14 17:09:27,13.269409894943237,37.83517241477966
172,1000,1000,2,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12404844561924015,1.4517130065604556e-06,2024-02-14 17:30:35,316.0030176639557,442.1971914768219
202,1000,1000,4,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12387805584922074,1.4427968350196847e-06,2024-02-14 17:44:01,404.32995796203613,631.6147155761719
207,1000,1000,2,0.5,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12723541126859444,1.5336126552716162e-06,2024-02-14 17:25:54,149.77457427978516,326.3928954601288
134,100,100,2,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.125326368400394,1.4732978416155e-06,2024-02-14 17:16:33,30.782231092453003,53.845770597457886
109,1000,1000,1,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1350268577035209,1.6757473722197468e-06,2024-02-14 17:25:02,244.24108052253723,294.1058044433594
106,100,100,2,0.5,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12834038479807341,1.538191687072916e-06,2024-02-14 17:16:26,13.731272459030151,38.54764008522034
75,100,100,5,0.5,sig,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.1258307099532653,1.5047468699531317e-06,2024-02-14 17:16:12,36.69161009788513,131.61492013931274
54,1000,1000,3,0.5,log,0.1,0.0,,5,301,2048,4096,0.1,32,1048576,tX,0.12389504828292748,1.4706368836729162e-06,2024-02-14 17:36:13,367.1136839389801,537.1393041610718
